Teks,label
Gimana dek...dah baikan blm...,0
"Ikuti Seminar Inspiratif Cara Mudah Sukses Bisnis TourTravel
JAKARTA, 31 MAR 2019
HOTEL MERCURE
Daftar: Nama/kota
WA 08112012929",1
"Anda Terpilih
Sbgi pemenang
CEK. Rp.100 ,jt
dari KUOTA
FLASH Internet
kode pin: anda
( 25E477R )
u\Info hadiah
www.bit.ly/undian-telkomsel2019",1
"Punya masalah keuangan?
cukup jaminkan Bpkb Mobil
pinjmana sesuai kebutuhan
Bunga 0.8%
Bsa T.over
Tdk Cek BI
hub wa/sms/tlp:
08121000336
087784524396",1
"DISK0N T0GEL hingga 65% hanya di J0KERBET888 bit.ly/2SNgRoY. dengan 6 Pasaran Terbaik serta Game : Live DingDong,Poker Dice,Poker Dealer,Bola Tangkas,DominoQQ.",1
"Jadilah Jutawan Bersama BATIKP0KER dengan GAME Terbaik seperti : PokerDice,DingDong,PokerDealer,CemeFighter & T0GEL China,Singapore kl!k http://103.10.201.28/",1
"Dengan Deposit Rp10.000 di GITARP0KER anda bisa Bermain TexasPoker,B0laTangkas,BlackJack,BigTw0,P0k3rDice,Dingd0ng & T0g3l Singap0re kl!k http://103.10.201.31/",1
"BUTUH DANA PINJAMAN TANPA ANGUNAN ON24Jam,Bunga 2%.Min 5-250jt.Mint chat wa 082195108147",1
"PROMO APRIL
Finance Terpercaya
[BPKB]Mobil/Truk] 
Aman & Bisa T.Over 1 Hari cair
Bungaa0,7%/flat
Cab.Seluruh Indonesia
info Call & WA
Nisa:081380419400
",1
"anda pusing kekurangan uang;
1.biaya rumah tangga
2.dililit utang
3.impian yang tidk terwujud DLL,

untk lebih jelas klik
https://bit.ly/2BSaOKv
WA:085242388244",1
"Bantuan Dana Tunai
Dengan Jaminan BPKB
MOTOR/MOBIL/TRUCK
TAKE OVER
SE-INDONESIA
PENCAIRAN TINGGI
HUB :
SRI
TELP/WA
085268186909
085268186759",1
03-14-19   -69-03-63,0
"KSP NASARI 
Melanyani pnjaman Dana
Proses cpat mudah dan Amanah
Chat wa: 0853-4204-1404",1
"Anda terlilit utang atau usahanya bangrut cobah hub ki Ageng klik www.berkah-uang-ghoibhalal.com
sy hendro dr surabaya sdh membuktikan bantuan beliau.",1
"kami menawarkan pinjaman dana lewat online Tanpa Agunan bunga 0,2%,proses cepat
Minat Chat WA.087844866627 hati.hati.Unsur2 penipuan ",1
"PROMO Yaa  Kak ALL TIPE IPHONE,OPPO,VIVO,SAMSUNG,LAPTOP,KAMERA,Dll Harga Serba 750.000 Minat Cht.WA 085398141983      ",1
"PT.INSTA FOREX INDONESIA
Hadir memberikan
penghasilan tambahan
Dengan profit 20%/7hari
minat WA:085349852116
join www.investasi-ifi.com",1
"SELAMAT siang !!!
Butuh Pinjaman Dana!!
KSP SEJAHTERA BERSAMA solusinya
cukup ktp kk
cair 5 juta s/d 900jt
 Bunga 4% / thn
Minat Chat WA: 082150336272",1
